judge_version,snapshot_contract_id,judge_model,generator_model,bundle_file,file,question_id,prompt_variant,trigger_type,A_structure,B_snapshot_constraint,C_actionability,D_completeness,E_drift_failure,total
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_baseline_explicit.pdf,q3,,,2,2,2,2,1,9
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_baseline_implicit.pdf,q3,,,2,2,2,2,1,9
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_conflict_explicit.pdf,q3,,,2,1,2,2,0,7
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_conflict_implicit.pdf,q3,,,2,1,2,2,0,7
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_long_explicit.pdf,q3,,,2,1,2,2,1,8
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_long_implicit.pdf,q3,,,2,1,2,2,1,8
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_weak_explicit.pdf,q3,,,2,2,1,1,2,8
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q3_weak_implicit.pdf,q3,,,2,2,1,1,2,8
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_baseline_explicit.pdf,q4,,,2,2,2,2,1,9
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_baseline_implicit.pdf,q4,,,2,2,2,2,1,9
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_conflict_explicit.pdf,q4,,,2,1,2,2,0,7
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_conflict_implicit.pdf,q4,,,2,1,2,2,0,7
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_long_explicit.pdf,q4,,,2,1,2,2,1,8
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_long_implicit.pdf,q4,,,2,1,2,2,1,8
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_weak_explicit.pdf,q4,,,2,2,1,1,2,8
v1_paraphrase_judge,SC_150_EXT,chatgpt,gemini,judge_chatgpt_bundle_gemini.json,q4_weak_implicit.pdf,q4,,,2,2,1,1,2,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_baseline_implicit.pdf,q3,,,2,0,2,2,0,6
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_conflict_explicit.pdf,q3,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_conflict_implicit.pdf,q3,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_baseline_implicit.pdf,q4,,,0,0,0,0,2,2
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_long_explicit.pdf,q3,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_baseline_explicit.pdf,q4,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_weak_explicit.pdf,q3,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_weak_implicit.pdf,q3,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_long_implicit.pdf,q3,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q3_baseline_explicit.pdf,q3,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_weak_explicit.pdf,q4,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_long_explicit.pdf,q4,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_conflict_explicit.pdf,q4,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_weak_implicit.pdf,q4,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_long_implicit.pdf,q4,,,2,2,2,2,0,8
v1_paraphrase_judge,SC_150_EXT,gemini,chatgpt,judge_gemini_bundle_chatgpt.json,q4_conflict_implicit.pdf,q4,,,2,2,2,2,0,8
